Time,Open,High,Low,Close,Volume
2026-01-02 09:03:00,5507.0,5508.0,5498.0,5499.0,10055
2026-01-02 09:04:00,5499.0,5507.0,5497.0,5505.5,4565
2026-01-02 09:05:00,5505.5,5506.5,5495.0,5495.5,3931
2026-01-02 09:06:00,5495.5,5500.0,5495.0,5498.5,2722
2026-01-02 09:07:00,5498.0,5500.0,5494.5,5496.0,2933
2026-01-02 09:08:00,5496.0,5497.0,5493.0,5493.0,2156
2026-01-02 09:09:00,5493.0,5494.0,5487.5,5493.0,5533
2026-01-02 09:10:00,5493.0,5493.0,5490.0,5491.5,1630
2026-01-02 09:11:00,5491.0,5494.5,5490.5,5492.5,2299
2026-01-02 09:12:00,5492.5,5496.0,5492.0,5492.5,2206
2026-01-02 09:13:00,5492.5,5494.5,5490.5,5491.0,1983
2026-01-02 09:14:00,5490.5,5493.5,5488.5,5488.5,3066
2026-01-02 09:15:00,5488.5,5491.5,5486.5,5491.5,2857
2026-01-02 09:16:00,5491.0,5492.0,5487.0,5488.5,2205
2026-01-02 09:17:00,5488.5,5491.5,5488.5,5489.5,1204
2026-01-02 09:18:00,5490.0,5491.0,5489.0,5489.0,1035
2026-01-02 09:19:00,5489.0,5489.5,5484.0,5485.0,4368
2026-01-02 09:20:00,5485.0,5491.0,5485.0,5490.0,2063
2026-01-02 09:21:00,5490.5,5490.5,5488.0,5488.5,874
2026-01-02 09:22:00,5488.0,5488.0,5486.0,5487.0,1354
2026-01-02 09:23:00,5487.0,5488.0,5485.0,5486.5,1686
2026-01-02 09:24:00,5486.5,5488.0,5485.5,5487.5,1172
2026-01-02 09:25:00,5487.0,5489.0,5486.5,5488.0,1180
2026-01-02 09:26:00,5488.0,5488.0,5486.0,5486.5,1465
2026-01-02 09:27:00,5486.5,5486.5,5481.5,5483.0,4201
2026-01-02 09:28:00,5483.0,5485.0,5482.5,5483.5,2088
2026-01-02 09:29:00,5484.0,5485.5,5483.0,5485.0,1467
2026-01-02 09:30:00,5485.0,5488.5,5484.5,5487.0,2255
2026-01-02 09:31:00,5487.0,5488.0,5486.0,5487.5,954
2026-01-02 09:32:00,5487.5,5490.0,5486.0,5486.0,1851
2026-01-02 09:33:00,5486.5,5490.5,5485.5,5490.0,1793
2026-01-02 09:34:00,5490.0,5490.5,5488.5,5489.0,991
2026-01-02 09:35:00,5489.0,5490.0,5488.5,5488.5,634
2026-01-02 09:36:00,5489.0,5489.5,5487.0,5487.0,1466
2026-01-02 09:37:00,5487.0,5487.0,5484.0,5484.5,1987
2026-01-02 09:38:00,5484.5,5485.0,5483.0,5484.5,1425
2026-01-02 09:39:00,5484.0,5486.0,5482.5,5482.5,1767
2026-01-02 09:40:00,5482.5,5485.0,5481.5,5481.5,2031
2026-01-02 09:41:00,5481.5,5483.5,5480.5,5481.5,2356
2026-01-02 09:42:00,5481.0,5481.5,5477.0,5478.0,4343
2026-01-02 09:43:00,5478.5,5479.5,5477.5,5478.5,1254
2026-01-02 09:44:00,5478.5,5479.5,5477.5,5477.5,973
2026-01-02 09:45:00,5478.0,5479.5,5476.5,5479.0,1448
2026-01-02 09:46:00,5478.5,5480.5,5478.0,5479.5,1686
2026-01-02 09:47:00,5479.0,5480.5,5478.0,5480.0,683
2026-01-02 09:48:00,5480.0,5480.5,5478.0,5478.5,570
2026-01-02 09:49:00,5479.0,5479.0,5477.0,5478.0,874
2026-01-02 09:50:00,5478.0,5478.5,5477.0,5478.5,426
2026-01-02 09:51:00,5478.5,5478.5,5476.5,5477.0,585
2026-01-02 09:52:00,5477.0,5478.5,5476.0,5478.0,1277
2026-01-02 09:53:00,5477.5,5479.0,5475.0,5475.5,1615
2026-01-02 09:54:00,5475.0,5475.5,5473.0,5474.0,2548
2026-01-02 09:55:00,5473.5,5476.0,5473.5,5474.0,1819
2026-01-02 09:56:00,5473.5,5474.5,5470.5,5471.5,2329
2026-01-02 09:57:00,5471.5,5474.0,5471.0,5473.5,1611
2026-01-02 09:58:00,5473.5,5474.0,5468.5,5469.0,2506
2026-01-02 09:59:00,5469.0,5472.0,5467.5,5471.5,2495
2026-01-02 10:00:00,5471.5,5474.0,5470.0,5471.5,2347
2026-01-02 10:01:00,5471.5,5473.0,5471.0,5473.0,899
2026-01-02 10:02:00,5472.5,5474.0,5471.5,5474.0,1367
2026-01-02 10:03:00,5474.0,5476.0,5473.0,5474.0,2535
2026-01-02 10:04:00,5474.0,5474.0,5470.0,5471.0,1902
2026-01-02 10:05:00,5471.0,5474.5,5471.0,5473.0,1308
2026-01-02 10:06:00,5473.0,5473.0,5471.0,5472.0,747
2026-01-02 10:07:00,5471.5,5474.5,5471.5,5473.5,921
2026-01-02 10:08:00,5474.0,5476.5,5473.5,5476.5,1722
2026-01-02 10:09:00,5476.5,5478.0,5474.5,5477.0,2267
2026-01-02 10:10:00,5477.0,5478.0,5475.5,5476.0,1194
2026-01-02 10:11:00,5475.5,5477.0,5474.5,5476.0,1101
2026-01-02 10:12:00,5475.5,5478.0,5475.0,5478.0,1072
2026-01-02 10:13:00,5478.0,5479.5,5477.5,5478.5,1896
2026-01-02 10:14:00,5478.5,5480.5,5478.0,5480.5,1539
2026-01-02 10:15:00,5480.5,5481.0,5478.5,5479.0,2080
2026-01-02 10:16:00,5479.5,5479.5,5477.0,5478.0,1409
2026-01-02 10:17:00,5478.5,5481.0,5478.0,5480.5,1438
2026-01-02 10:18:00,5480.5,5480.5,5478.5,5479.5,555
